"ZIPCODE":"57105","TOTALCUSTOMERS":11455,"CUSTOMERSOUT":41
"ZIPCODE":"57110","TOTALCUSTOMERS":7350,"CUSTOMERSOUT":1
"ZIPCODE":"79108","TOTALCUSTOMERS":6396,"CUSTOMERSOUT":2
"ZIPCODE":"79356","TOTALCUSTOMERS":2073,"CUSTOMERSOUT":40
"ZIPCODE":"54636","TOTALCUSTOMERS":3714,"CUSTOMERSOUT":6
"ZIPCODE":"80003","TOTALCUSTOMERS":15647,"CUSTOMERSOUT":1
"ZIPCODE":"80013","TOTALCUSTOMERS":27926,"CUSTOMERSOUT":1
"ZIPCODE":"80014","TOTALCUSTOMERS":21712,"CUSTOMERSOUT":44
"ZIPCODE":"80020","TOTALCUSTOMERS":25021,"CUSTOMERSOUT":82
"ZIPCODE":"80030","TOTALCUSTOMERS":6792,"CUSTOMERSOUT":27
"ZIPCODE":"80031","TOTALCUSTOMERS":15756,"CUSTOMERSOUT":1
"ZIPCODE":"80033","TOTALCUSTOMERS":15137,"CUSTOMERSOUT":6
"ZIPCODE":"80110","TOTALCUSTOMERS":13447,"CUSTOMERSOUT":1
"ZIPCODE":"80113","TOTALCUSTOMERS":11769,"CUSTOMERSOUT":1
"ZIPCODE":"80120","TOTALCUSTOMERS":14790,"CUSTOMERSOUT":1
"ZIPCODE":"80123","TOTALCUSTOMERS":22125,"CUSTOMERSOUT":1
"ZIPCODE":"80127","TOTALCUSTOMERS":16454,"CUSTOMERSOUT":1
"ZIPCODE":"80130","TOTALCUSTOMERS":10432,"CUSTOMERSOUT":1
"ZIPCODE":"80205","TOTALCUSTOMERS":18586,"CUSTOMERSOUT":1
"ZIPCODE":"80212","TOTALCUSTOMERS":10359,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9499,"CUSTOMERSOUT":2
"ZIPCODE":"80219","TOTALCUSTOMERS":21007,"CUSTOMERSOUT":29
"ZIPCODE":"80228","TOTALCUSTOMERS":16822,"CUSTOMERSOUT":2
"ZIPCODE":"80233","TOTALCUSTOMERS":18370,"CUSTOMERSOUT":1
"ZIPCODE":"80239","TOTALCUSTOMERS":15353,"CUSTOMERSOUT":2
"ZIPCODE":"80301","TOTALCUSTOMERS":15236,"CUSTOMERSOUT":9
"ZIPCODE":"80302","TOTALCUSTOMERS":12895,"CUSTOMERSOUT":1
"ZIPCODE":"80303","TOTALCUSTOMERS":11523,"CUSTOMERSOUT":1
"ZIPCODE":"80401","TOTALCUSTOMERS":20656,"CUSTOMERSOUT":1
"ZIPCODE":"80435","TOTALCUSTOMERS":7206,"CUSTOMERSOUT":81
"ZIPCODE":"80439","TOTALCUSTOMERS":9725,"CUSTOMERSOUT":4
"ZIPCODE":"80466","TOTALCUSTOMERS":1859,"CUSTOMERSOUT":70
"ZIPCODE":"80651","TOTALCUSTOMERS":2006,"CUSTOMERSOUT":5
"ZIPCODE":"81140","TOTALCUSTOMERS":819,"CUSTOMERSOUT":1
"ZIPCODE":"81141","TOTALCUSTOMERS":664,"CUSTOMERSOUT":0
"ZIPCODE":"81149","TOTALCUSTOMERS":560,"CUSTOMERSOUT":0
"ZIPCODE":"81504","TOTALCUSTOMERS":10687,"CUSTOMERSOUT":18
"ZIPCODE":"88220","TOTALCUSTOMERS":21693,"CUSTOMERSOUT":60
"ZIPCODE":"88252","TOTALCUSTOMERS":2774,"CUSTOMERSOUT":2
"ZIPCODE":"55014","TOTALCUSTOMERS":7378,"CUSTOMERSOUT":30
"ZIPCODE":"55110","TOTALCUSTOMERS":16693,"CUSTOMERSOUT":4
"ZIPCODE":"55127","TOTALCUSTOMERS":5376,"CUSTOMERSOUT":91
"ZIPCODE":"55414","TOTALCUSTOMERS":17340,"CUSTOMERSOUT":1
